"Goroka.Airport","Goroka","Papua.New.Guinea","GKA"
"Esenboğa International Airport","Ankara","Turkey","ESB"
"Etimesgut Air Base","Ankara","Turkey","ANK"
"Akıncı Air Base","Ankara","Turkey","\N"
"Adana Airport","Adana","Turkey","ADA"
"İncirlik Air Base","Adana","Turkey","UAB"
"Afyon Airport","Afyon","Turkey","AFY"
"Antalya International Airport","Antalya","Turkey","AYT"
"Gaziantep International Airport","Gaziantep","Turkey","GZT"
"İskenderun Airport","Iskenderun","Turkey","\N"
"Konya Airport","Konya","Turkey","KYA"
"Malatya Tulga Airport","Malatya","Turkey","\N"
"Amasya Merzifon Airport","Merzifon","Turkey","MZH"
"Sivas Nuri Demirağ Airport","Sivas","Turkey","VAS"
"Malatya Erhaç Airport","Malatya","Turkey","MLX"
"Kayseri Erkilet Airport","Kayseri","Turkey","ASR"
"Sivrihisar Airport","Sivrihisar","Turkey","\N"
"Tokat Airport","Tokat","Turkey","TJK"
"Çardak Airport","Denizli","Turkey","DNZ"
"Atatürk International Airport","Istanbul","Turkey","ISL"
"Balıkesir Merkez Airport","Balikesir","Turkey","BZI"
"Bandırma Airport","Bandirma","Turkey","BDM"
"Eskişehir Air Base","Eskisehir","Turkey","ESK"
"Adnan Menderes International Airport","Izmir","Turkey","ADB"
"Gaziemir Airport","Izmir","Turkey","\N"
"Çiğli Airport","Izmir","Turkey","IGL"
"Isparta Airport","Isparta","Turkey","\N"
"Kütahya Airport","Kutahya","Turkey","\N"
"Yalova Airport","Yalova","Turkey","\N"
"Cengiz Topel Airport","Topel","Turkey","KCO"
"Dalaman International Airport","Dalaman","Turkey","DLM"
"Akhisar Airport","Akhisar","Turkey","\N"
"Imsık Airport","Bodrum","Turkey","BXN"
"Samandıra Air Base","Istanbul","Turkey","\N"
"Elazığ Airport","Elazig","Turkey","EZS"
"Diyarbakir Airport","Diyabakir","Turkey","DIY"
"Erzincan Airport","Erzincan","Turkey","ERC"
"Erzurum International Airport","Erzurum","Turkey","ERZ"
"Trabzon International Airport","Trabzon","Turkey","TZX"
"Van Ferit Melen Airport","Van","Turkey","VAN"
"Batman Airport","Batman","Turkey","BAL"
"Siirt Airport","Siirt","Turkey","SXZ"
"Kaklıç Airport","Izmir","Turkey","\N"
"Selçuk Efes Airport","Izmir","Turkey","\N"
"Bălți International Airport","Saltsy","Moldova","BZY"
"Chişinău International Airport","Chisinau","Moldova","KIV"
"Ohrid St. Paul the Apostle Airport","Ohrid","Macedonia","OHD"
"Skopje Alexander the Great Airport","Skopje","Macedonia","SKP"
"Gibraltar Airport","Gibraltar","Gibraltar","GIB"
"Belgrade Nikola Tesla Airport","Belgrade","Serbia","BEG"
"Nis Airport","Nis","Serbia","INI"
"Podgorica Airport","Podgorica","Montenegro","TGD"
"Priština International Airport","Pristina","Serbia","PRN"
"Tivat Airport","Tivat","Montenegro","TIV"
"Vršac International Airport","Vrsac","Serbia","\N"
"M. R. Štefánik Airport","Bratislava","Slovakia","BTS"
"Košice Airport","Kosice","Slovakia","KSC"
"Kuchyňa Air Base","Malacky","Slovakia","\N"
"Piešťany Airport","Piestany","Slovakia","PZY"
"Sliač Airport","Sliac","Slovakia","SLD"
"Trenčín Airport","Trencin","Slovakia","\N"
"Poprad-Tatry Airport","Poprad","Slovakia","TAT"
"North Caicos Airport","North Caicos","Turks and Caicos Islands","NCA"
"Providenciales Airport","Providenciales","Turks and Caicos Islands","PLS"
"South Caicos Airport","South Caicos","Turks and Caicos Islands","XSC"
"Arroyo Barril Airport","Samana","Dominican Republic","\N"
"Maria Montez International Airport","Barahona","Dominican Republic","BRX"
"Cabo Rojo Airport","Cabo Rojo","Dominican Republic","CBJ"
"Casa De Campo International Airport","La Romana","Dominican Republic","LRM"
"Punta Cana International Airport","Punta Cana","Dominican Republic","PUJ"
"Gregorio Luperon International Airport","Puerto Plata","Dominican Republic","POP"
"Las Américas International Airport","Santo Domingo","Dominican Republic","SDQ"
"San Isidro Air Base","San Isidoro","Dominican Republic","\N"
"Cibao International Airport","Santiago","Dominican Republic","STI"
"Bananera Airport","Bananera","Guatemala","\N"
"Coban Airport","Coban","Guatemala","CBV"
"La Aurora Airport","Guatemala City","Guatemala","GUA"
"Retalhuleu Airport","Retalhuleu","Guatemala","RER"
"San José Airport","San Jose","Guatemala","GSJ"
"Goloson International Airport","La Ceiba","Honduras","LCE"
"Ramón Villeda Morales International Airport","San Pedro Sula","Honduras","SAP"
"La Laguna Airport","Guanaja","Honduras","GJA"
"Juan Manuel Galvez International Airport","Roatan","Honduras","RTB"
"Tela Airport","Tela","Honduras","TEA"
"Toncontín International Airport","Tegucigalpa","Honduras","TGU"
"Trujillo Airport","Trujillo","Honduras","TJI"
"Boscobel Aerodrome","Ocho Rios","Jamaica","OCJ"
"Norman Manley International Airport","Kingston","Jamaica","KIN"
"Sangster International Airport","Montego Bay","Jamaica","MBJ"
"Ken Jones Airport","Port Antonio","Jamaica","POT"
"Tinson Pen Airport","Kingston","Jamaica","KTP"
"General Juan N Alvarez International Airport","Acapulco","Mexico","ACA"
"Del Norte International Airport","Monterrey","Mexico","NTR"
"Jesús Terán Paredo International Airport","Aguascalientes","Mexico","AGU"
"Bahías de Huatulco International Airport","Huatulco","Mexico","HUX"
"General Mariano Matamoros Airport","Cuernavaca","Mexico","CVJ"
"Ciudad Acuña New International Airport","Ciudad Acuna","Mexico","ACN"
"Ciudad del Carmen International Airport","Ciudad Del Carmen","Mexico","CME"
"Nuevo Casas Grandes Airport","Nuevo Casas Grandes","Mexico","NCG"
"Chilpancingo Airport","Chilpancingo","Mexico","\N"
"Bachigualato Federal International Airport","Culiacan","Mexico","CUL"
"Chetumal International Airport","Chetumal","Mexico","CTM"
"Ciudad Obregón International Airport","Ciudad Obregon","Mexico","CEN"
"Ingeniero Alberto Acuña Ongay International Airport","Campeche","Mexico","CPE"
"Abraham González International Airport","Ciudad Juarez","Mexico","CJS"
"General Roberto Fierro Villalobos International Airport","Chihuahua","Mexico","CUU"
"General Pedro Jose Mendez International Airport","Ciudad Victoria","Mexico","CVM"
"Cozumel International Airport","Cozumel","Mexico","CZM"
"General Guadalupe Victoria International Airport","Durango","Mexico","DGO"
"Amado Nervo National Airport","Tepic","Mexico","TPQ"
"Ensenada International Airport","Ensenada","Mexico","ESE"
"Don Miguel Hidalgo Y Costilla International Airport","Guadalajara","Mexico","GDL"
"General José María Yáñez International Airport","Guaymas","Mexico","GYM"
"Tehuacan Airport","Tehuacan","Mexico","TCN"
"General Ignacio P. Garcia International Airport","Hermosillo","Mexico","HMO"
"Licenciado Miguel de la Madrid Airport","Colima","Mexico","CLQ"
"Isla Mujeres Airport","Isla Mujeres","Mexico","ISJ"
"Plan De Guadalupe International Airport","Saltillo","Mexico","SLW"
"Ixtepec Airport","Iztepec","Mexico","IZT"
"Lázaro Cárdenas Airport","Lazard Cardenas","Mexico","LZC"
"Valle del Fuerte International Airport","Los Mochis","Mexico","LMM"
"Del Bajío International Airport","Del Bajio","Mexico","BJX"
"Manuel Márquez de León International Airport","La Paz","Mexico","LAP"
"Loreto International Airport","Loreto","Mexico","LTO"
"General Servando Canales International Airport","Matamoros","Mexico","MAM"
"Licenciado Manuel Crescencio Rejon Int Airport","Merida","Mexico","MID"
"General Rodolfo Sánchez Taboada International Airport","Mexicali","Mexico","MXL"
"General Francisco J. Mujica International Airport","Morelia","Mexico","MLM"
"Minatitlán/Coatzacoalcos National Airport","Minatitlan","Mexico","MTT"
"Monclova International Airport","Monclova","Mexico","LOV"
"Licenciado Benito Juarez International Airport","Mexico City","Mexico","MEX"
"General Mariano Escobedo International Airport","Monterrey","Mexico","MTY"
"General Rafael Buelna International Airport","Mazatlan","Mexico","MZT"
"Nogales International Airport","Nogales","Mexico","NOG"
"Quetzalcóatl International Airport","Nuevo Laredo","Mexico","NLD"
"Xoxocotlán International Airport","Oaxaca","Mexico","OAX"
"El Tajín National Airport","Poza Rico","Mexico","PAZ"
"Hermanos Serdán International Airport","Puebla","Mexico","PBC"
"Ingeniero Juan Guillermo Villasana Airport","Pachuca","Mexico","\N"
"Mar de Cortés International Airport","Punta Penasco","Mexico","PPE"
"Piedras Negras International Airport","Piedras Negras","Mexico","PDS"
"Licenciado y General Ignacio Lopez Rayon Airport","Uruapan","Mexico","UPN"
"Licenciado Gustavo Díaz Ordaz International Airport","Puerto Vallarta","Mexico","PVR"
"Puerto Escondido International Airport","Puerto Escondido","Mexico","PXM"
"Querétaro Intercontinental Airport","Queretaro","Mexico","QRO"
"General Lucio Blanco International Airport","Reynosa","Mexico","REX"
"Los Cabos International Airport","San Jose Del Cabo","Mexico","SJD"
"San Felipe International Airport","San Filipe","Mexico","SFH"
"Ponciano Arriaga International Airport","San Luis Potosi","Mexico","SLP"
"Tlaxcala Airport","Tlaxcala","Mexico","\N"
"Terán Air Base","Tuxtla Gutierrez","Mexico","\N"
"Francisco Sarabia International Airport","Torreon","Mexico","TRC"
"Angel Albino Corzo International Airport","Tuxtla Gutierrez","Mexico","TGZ"
"General Abelardo L. Rodríguez International Airport","Tijuana","Mexico","TIJ"
"General Francisco Javier Mina International Airport","Tampico","Mexico","TAM"
"Tamuin Airport","Tamuin","Mexico","TSL"
"Licenciado Adolfo Lopez Mateos International Airport","Toluca","Mexico","TLC"
"Tapachula International Airport","Tapachula","Mexico","TAP"
"Cancún International Airport","Cancun","Mexico","CUN"
"Carlos Rovirosa Pérez International Airport","Villahermosa","Mexico","VSA"
"General Heriberto Jara International Airport","Vera Cruz","Mexico","VER"
"General Leobardo C. Ruiz International Airport","Zacatecas","Mexico","ZCL"
"Ixtapa Zihuatanejo International Airport","Zihuatanejo","Mexico","ZIH"
"Zamora Airport","Zamora","Mexico","ZMM"
"Playa De Oro International Airport","Manzanillo","Mexico","ZLO"
"Zapopan Airport","Zapopan","Mexico","\N"
"Bluefields Airport","Bluefields","Nicaragua","BEF"
"Los Brasiles Airport","Los Brasiles","Nicaragua","\N"
"Leon (Fanor Urroz) Airport","Leon","Nicaragua","\N"
"Augusto C. Sandino (Managua) International Airport","Managua","Nicaragua","MGA"
"Puerto Cabezas Airport","Puerto Cabezas","Nicaragua","PUZ"
"Bocas Del Toro International Airport","Bocas Del Toro","Panama","BOC"
"Cap Manuel Niño International Airport","Changuinola","Panama","CHX"
"Enrique Malek International Airport","David","Panama","DAV"
"Panama Pacific International Airport","Howard","Panama","BLB"
"Marcos A. Gelabert International Airport","Panama","Panama","PAC"
"Ruben Cantu Airport","Santiago","Panama","SYP"
"Tocumen International Airport","Panama City","Panama","PTY"
"Buenos Aires Airport","Buenos Aires","Costa Rica","BAI"
"Coto 47 Airport","Coto 47","Costa Rica","OTR"
"Chacarita Airport","Chacarita","Costa Rica","JAP"
"El Carmen de Siquirres Airport","El Carmen","Costa Rica","\N"
"Finca 10 / Nuevo Palmar Sur Airport","Finca 10","Costa Rica","\N"
"Golfito Airport","Golfito","Costa Rica","GLF"
"Guapiles Airport","Guapiles","Costa Rica","GPL"
"Daniel Oduber Quiros International Airport","Liberia","Costa Rica","LIR"
"Los Chiles Airport","Los Chiles","Costa Rica","LSL"
"Limon International Airport","Limon","Costa Rica","LIO"
"Nosara Airport","Nosara Beach","Costa Rica","NOB"
"Juan Santamaria International Airport","San Jose","Costa Rica","SJO"
"Pandora Airport","Pandora","Costa Rica","\N"
"Palmar Sur Airport","Palmar Sur","Costa Rica","PMZ"
"Quepos Managua Airport","Quepos","Costa Rica","XQP"
"Santa Clara De Guapiles Airport","Santa Clara","Costa Rica","\N"
"San Vito De Java Airport","San Vito De Jaba","Costa Rica","TOO"
"Monseñor Óscar Arnulfo Romero International Airport","San Salvador","El Salvador","SAL"
"Ilopango International Airport","San Salvador","El Salvador","\N"
"Les Cayes Airport","Cayes","Haiti","CYA"
"Cap Haitien International Airport","Cap Haitien","Haiti","CAP"
"Jacmel Airport","Jacmel","Haiti","JAK"
"Toussaint Louverture International Airport","Port-au-prince","Haiti","PAP"
"Gustavo Rizo Airport","Baracoa Playa","Cuba","BCA"
"Carlos Manuel de Cespedes Airport","Bayamo","Cuba","BYM"
"Maximo Gomez Airport","Ciego De Avila","Cuba","AVI"
"Jardines Del Rey Airport","Cunagua","Cuba","CCC"
"Jaime Gonzalez Airport","Cienfuegos","Cuba","CFG"
"Vilo Acuña International Airport","Cayo Largo del Sur","Cuba","CYO"
"Ignacio Agramonte International Airport","Camaguey","Cuba","CMW"
"Antonio Maceo International Airport","Santiago De Cuba","Cuba","SCU"
"Florida Airport","Florida","Cuba","\N"
"Leeward Point Field","Guantanamo","Cuba","NBW"
"Mariana Grajales Airport","Guantanamo","Cuba","GAO"
"José Martí International Airport","Havana","Cuba","HAV"
"Frank Pais International Airport","Holguin","Cuba","HOG"
"La Coloma Airport","La Coloma","Cuba","LCL"
"Orestes Acosta Airport","Moa","Cuba","MOA"
"Sierra Maestra Airport","Manzanillo","Cuba","MZO"
"Rafael Cabrera Airport","Nueva Gerona","Cuba","GER"
"Playa Baracoa Airport","Baracoa Playa","Cuba","UPB"
"Pinar Del Rio Airport","Pinar Del Rio Norte","Cuba","QPD"
"San Antonio De Los Banos Airport","San Antonio De Banos","Cuba","\N"
"Abel Santamaria Airport","Santa Clara","Cuba","SNU"
"Joaquín de Agüero Airport","Santa Lucia","Cuba","\N"
"Siguanea Airport","Siguanea","Cuba","SZJ"
"Sancti Spiritus Airport","Sancti Spiritus","Cuba","USS"
"Juan Gualberto Gomez International Airport","Varadero","Cuba","VRA"
"Hermanos Ameijeiras Airport","Las Tunas","Cuba","VTU"
"Gerrard Smith International Airport","Cayman Brac","Cayman Islands","CYB"
"Owen Roberts International Airport","Georgetown","Cayman Islands","GCM"
"Clarence A. Bain Airport","Clarence Bain","Bahamas","MAY"
"Andros Town Airport","Andros Town","Bahamas","ASD"
"Leonard M Thompson International Airport","Marsh Harbor","Bahamas","MHH"
"San Andros Airport","San Andros","Bahamas","SAQ"
"Spring Point Airport","Spring Point","Bahamas","AXP"
"Sandy Point Airport","Sandy Point","Bahamas","\N"
"Treasure Cay Airport","Treasure Cay","Bahamas","TCB"
"Chub Cay Airport","Chub Cay","Bahamas","CCZ"
"Great Harbour Cay Airport","Bullocks Harbour","Bahamas","GHC"
"South Bimini Airport","Alice Town","Bahamas","BIM"
"Exuma International Airport","Great Exuma","Bahamas","GGT"
"George Town Airport","George Town","Bahamas","\N"
"North Eleuthera Airport","North Eleuthera","Bahamas","ELH"
"Governor's Harbour Airport","Governor's Harbor","Bahamas","GHB"
"Normans Cay Airport","Norman's Cay","Bahamas","NMC"
"Rock Sound Airport","Rock Sound","Bahamas","RSD"
"Staniel Cay Airport","Staniel Cay","Bahamas","TYM"
"Grand Bahama International Airport","Freeport","Bahamas","FPO"
"Inagua Airport","Matthew Town","Bahamas","IGA"
"Deadman's Cay Airport","Dead Man's Cay","Bahamas","LGI"
"Stella Maris Airport","Stella Maris","Bahamas","SML"
"Mayaguana Airport","Mayaguana","Bahamas","MYG"
"Lynden Pindling International Airport","Nassau","Bahamas","NAS"
"Duncan Town Airport","Duncan Town","Bahamas","DCT"
"Rum Cay Airport","Port Nelson","Bahamas","RCY"
"San Salvador Airport","Cockburn Town","Bahamas","ZSA"
"Philip S. W. Goldson International Airport","Belize City","Belize","BZE"
"Aitutaki Airport","Aitutaki","Cook Islands","AIT"
"Rarotonga International Airport","Avarua","Cook Islands","RAR"
"Nadi International Airport","Nandi","Fiji","NAN"
"Nausori International Airport","Nausori","Fiji","SUV"
"Fua'amotu International Airport","Tongatapu","Tonga","TBU"
"Vava'u International Airport","Vava'u","Tonga","VAV"
"Bonriki International Airport","Tarawa","Kiribati","TRW"
"Tabiteuea North Airport","Tabiteuea North","Kiribati","TBF"
"Hihifo Airport","Wallis","Wallis and Futuna","WLS"
"Faleolo International Airport","Faleolo","Samoa","APW"
"Pago Pago International Airport","Pago Pago","American Samoa","PPG"
"Rurutu Airport","Rurutu","French Polynesia","RUR"
"Tubuai Airport","Tubuai","French Polynesia","TUB"
"Anaa Airport","Anaa","French Polynesia","AAA"
"Fangatau Airport","Fangatau","French Polynesia","FGU"
"Tikehau Airport","Tikehau","French Polynesia","TIH"
"Reao Airport","Reao","French Polynesia","REA"
"Fakarava Airport","Fakarava","French Polynesia","FAV"
"Manihi Airport","Manihi","French Polynesia","XMH"
"Totegegie Airport","Totegegie","French Polynesia","GMR"
"Kaukura Airport","Kaukura Atoll","French Polynesia","KKR"
"Makemo Airport","Makemo","French Polynesia","MKP"
"Puka Puka Airport","Puka Puka","French Polynesia","PKP"
"Takapoto Airport","Takapoto","French Polynesia","TKP"
"Arutua Airport","Arutua","French Polynesia","AXR"
"Mataiva Airport","Mataiva","French Polynesia","MVT"
"Takaroa Airport","Takaroa","French Polynesia","TKX"
"Nuku Hiva Airport","Nuku Hiva","French Polynesia","NHV"
"Bora Bora Airport","Bora Bora","French Polynesia","BOB"
"Rangiroa Airport","Rangiroa","French Polynesia","RGI"
"Huahine-Fare Airport","Huahine Island","French Polynesia","HUH"
"Moorea Airport","Moorea","French Polynesia","MOZ"
"Hao Airport","Hao Island","French Polynesia","HOI"
"Maupiti Airport","Maupiti","French Polynesia","MAU"
"Raiatea Airport","Raiatea Island","French Polynesia","RFP"
"Bauerfield International Airport","Port-vila","Vanuatu","VLI"
"Koné Airport","Kone","New Caledonia","KNQ"
"Koumac Airport","Koumac","New Caledonia","KOC"
"Lifou Airport","Lifou","New Caledonia","LIF"
"Nouméa Magenta Airport","Noumea","New Caledonia","GEA"
"Maré Airport","Mare","New Caledonia","MEE"
"Touho Airport","Touho","New Caledonia","TOU"
"Ouvéa Airport","Ouvea","New Caledonia","UVE"
"La Tontouta International Airport","Noumea","New Caledonia","NOU"
"Auckland International Airport","Auckland","New Zealand","AKL"
"Taupo Airport","Taupo","New Zealand","TUO"
"Ardmore Airport","Ardmore","New Zealand","AMZ"
"Christchurch International Airport","Christchurch","New Zealand","CHC"
"Chatham Islands-Tuuta Airport","Chatham Island","New Zealand","CHT"
"Dunedin Airport","Dunedin","New Zealand","DUD"
"Gisborne Airport","Gisborne","New Zealand","GIS"
"Glentanner Airport","Glentanner","New Zealand","GTN"
"Hokitika Airfield","Hokitika","New Zealand","HKK"
"Hamilton International Airport","Hamilton","New Zealand","HLZ"
"Hastings Aerodrome","Hastings","New Zealand","\N"
"Kerikeri Airport","Kerikeri","New Zealand","KKE"
"Kaitaia Airport","Kaitaia","New Zealand","KAT"
"Alexandra Airport","Alexandra","New Zealand","ALR"
"Mount Cook Airport","Mount Cook","New Zealand","MON"
"Manapouri Airport","Manapouri","New Zealand","TEU"
"Hood Airport","Masterton","New Zealand","MRO"
"New Plymouth Airport","New Plymouth","New Zealand","NPL"
"Nelson Airport","Nelson","New Zealand","NSN"
"Invercargill Airport","Invercargill","New Zealand","IVC"
"RNZAF Base Ohakea","Ohakea","New Zealand","OHA"
"Oamaru Airport","Oamaru","New Zealand","OAM"
"Palmerston North Airport","Palmerston North","New Zealand","PMR"
"Paraparaumu Airport","Paraparaumu","New Zealand","PPQ"
"Queenstown International Airport","Queenstown International","New Zealand","ZQN"
"Rotorua Regional Airport","Rotorua","New Zealand","ROT"
"Waiouru Airport","Waiouru","New Zealand","\N"
