"compagnia_aerea","aeroplano"
"Quick Air Jet Charter","AP701"
"ATRAN Cargo Airlines","AP260"
"IKON FTO","AP874"
"Air Indus","AP829"
"Apatas Air","AP352"
"Paisajes Espanoles","AP818"
"Avinor","AP696"
"Orchid Airlines","AP459"
"Trans Euro Air","AP694"
"Ecuatoguineana De Aviacion (EGA)","AP927"
"Uraiavia","AP411"
"Sunbird Airlines","AP841"
"Jetstream Air","AP957"
"China General Aviation Corporation","AP4"
"Bonus Aviation","AP660"
"Sirena","AP650"
"Turkish Wings Domestic","AP445"
"Hope Air","AP38"
"South Carolina Aeronautics Commission","AP736"
"Servicios Aereos Centrales","AP410"
"Flightexec","AP264"
"Air Korea Co. Ltd.","AP527"
"Khoriv-Avia","AP330"
"Bugulma Air Enterprise","AP771"
"Froggy Corporate Aviation","AP257"
"CHC Helikopter Service","AP426"
"airtransse","AP665"
"Aerojobeni","AP73"
"Viajes Ejecutivos Mexicanos","AP142"
"UTair-Express","AP673"
"Air Parabet","AP342"
"Barents AirLink","AP24"
"Tarhan Tower Airlines","AP139"
"Lynx Aviation (L3/SSX)","AP316"
"Global Jet Luxembourg","AP101"
"Aviation Consultancy Office","AP813"
"SENIC AIRLINES","AP150"
"Polish Navy","AP927"
"Haitian Aviation Line","AP845"
"Gemini Air Cargo","AP868"
"Baron Aviation Services","AP664"
"Air Excel","AP207"
"France Marine Nationale","AP475"
"Taxis Aereos del Noroeste","AP626"
"Beibars CJSC","AP349"
"Air Busan","AP777"
"British Mediterranean Airways","AP771"
"Eos Airlines","AP712"
"USAF Air Mobility Operations Control Center","AP2"
"JSC Transport Automated Information Systems","AP478"
"Northern Illinois Commuter","AP235"
"Air City","AP51"
"Mowhawk Airlines","AP194"
"Tajikstan","AP663"
"Full Express","AP765"
"Gujarat Airways","AP522"
"Blue Star Airlines","AP362"
"Heliocean","AP43"
"Avstar Aviation","AP883"
"North West Airlines","AP57"
"Reeve Aleutian Airways","AP70"
"Antrak Air","AP491"
"Aero Costa Taxi Aereo","AP3"
"K D Air Corporation","AP929"
"Avinor","AP67"
"China Eastern Airlines","AP740"
"Dispatch Services","AP772"
"Minsk Aircraft Overhaul Plant","AP444"
"Tusheti","AP289"
"Trans Atlantis","AP517"
"Fujairah Aviation Centre","AP692"
"Air Cargo Transportation System","AP664"
"BT-Slavuta","AP770"
"US-Bangla Airlines","AP632"
"Tepavia-Trans Airlines","AP885"
"ESI Eliservizi Italiani","AP641"
"Navitaire","AP507"
"Nuevo Horizonte Internacional","AP759"
"San Dima Air","AP744"
"Scat Air","AP433"
"Richardson's Airway","AP771"
"Bearing Supplies Limited","AP26"
"Citilink Indonesia","AP558"
"Bear Flight","AP327"
"Euro-Asia Air","AP992"
"Tamir Airways","AP875"
"TAB Express International","AP592"
"Airwave Transport","AP342"
"Air ALM","AP607"
"Eastland Air","AP830"
"Aerobusinessservice","AP251"
"Special Scope Limited","AP741"
"Aerolineas Del Sureste","AP14"
"Tech-Mont Helicopter Company","AP957"
"Aerolineas Bonanza","AP270"
"Heliaviation Limited","AP445"
"Horizontes Aereos","AP137"
"DHL International","AP86"
"Nesma Airlines","AP623"
"Jettor Airlines","AP231"
"Fairoaks Flight Centre","AP981"
"Centre of Applied Geodynamica","AP973"
"Transaviaexport","AP752"
"Rusuertol","AP372"
"Russian Aircraft Corporation-MiG","AP835"
"C and M Aviation","AP265"
"Albarka Air","AP572"
"Atlasjet","AP103"
"Cat Aviation","AP148"
"Arik Air","AP440"
"Eagles Airlines","AP426"
"Pirinair Express","AP977"
"Tara Air Line","AP868"
"Air Cape","AP691"
"Lorraine Aviation","AP394"
"Air Japan","AP191"
"SilkAir","AP442"
"Nortavia","AP372"
"Dasnair","AP685"
"Italy First","AP192"
"German Army","AP439"
"D & D Aviation","AP767"
"Advance Aviation Services","AP17"
"Advance Air Charters","AP500"
"Golden Air","AP526"
"Dutchbird","AP588"
"Pan American World Airways","AP629"
"MG Aviacion","AP898"
"Bissau Aero Transporte","AP327"
"Air Caledonia","AP299"
"Centro de Formacion Aeronautica de Canarias","AP427"
"Tramon Air","AP735"
"Jet Center Flight Training","AP291"
"Fayetteville Flying Service and Scheduled Skyways System","AP299"
"Jonsson","AP770"
"Air Yugoslavia","AP295"
"Eldinder Aviation","AP322"
"Sunu Air","AP818"
"Aeronaves TSM","AP501"
"G & L Aviation","AP822"
"Interstate Airline","AP925"
"Air Atlantique","AP607"
"UK International Airlines","AP463"
"Norlandair","AP48"
"Parsons Airways Northern","AP132"
"Spring Airlines Japan","AP193"
"Servicios Aereos Textra","AP324"
"Astro Air International","AP415"
"New England Airlines","AP70"
"Southern Right Air Charter","AP418"
"IPEC Aviation","AP316"
"Air Ukraine","AP935"
"Excellent Air","AP94"
"ExpressJet","AP89"
"Froggy Corporate Aviation","AP543"
"Polish Navy","AP114"
"Mac Aviation","AP242"
"SriLankan Airlines","AP874"
"Sky Way Air","AP998"
"Lnair Air Services","AP558"
"Intensive Air","AP515"
"Seagle Air","AP175"
"RPA-Aviataxi Ltd.","AP611"
"Aero Continente Dominicana","AP957"
"SkyWest","AP64"
"SOS Flygambulans","AP339"
"Twin Cities Air Service","AP774"
"Jat Airways","AP93"
"Sibaviatrans","AP155"
"Khoezestan Photros Air Lines","AP449"
"Astral Aviation","AP137"
"Brazilian Army Aviation","AP262"
"Kush Air","AP562"
"Skybus Airlines","AP401"
"Air Toronto","AP41"
"PDQ Air Charter","AP773"
"Air Plus Argentina","AP142"
"Aeroatlas","AP68"
"Golden Eagle Air Services (FAA)","AP155"
"Atair Pty Ltd.","AP700"
"European 2000 Airlines","AP109"
"Aeronautica Castellana","AP528"
"Royal Navy","AP1000"
"Flexair","AP284"
"Jett8 Airlines Cargo","AP419"
"Z-Avia","AP759"
"Congressional Air","AP604"
"Mediterranean Air Freight","AP398"
"WSI Corporation","AP712"
"Far Eastern Air Transport","AP155"
"Mudanjiang General Aviation","AP395"
"Interisland Airlines","AP871"
"KLM Royal Dutch Airlines","AP692"
"Maya Island Air","AP507"
"Thunder Airlines","AP961"
"Gain Jet Aviation","AP279"
"Cal-West Aviation","AP368"
"Air Toronto","AP874"
"FAI Airservice","AP80"
"Package Express","AP75"
"Edinburgh Air Charter","AP393"
"Excel Airways","AP206"
"Africa Airlines","AP187"
"Air San Juan","AP202"
"Juneyao Airlines","AP655"
"Altin Havayolu Tasimaciligi Turizm Ve Ticaret","AP770"
"Air Fiji","AP491"
"Air Star Corporation","AP701"
"Iberia Airlines","AP790"
"Air Routing International Corp.","AP573"
"Smarkand Aero Servise","AP739"
"Airlink (SAA)","AP194"
"Star West Aviation","AP624"
"SASCO Airlines","AP632"
"Air Service","AP171"
"Air Algerie","AP809"
"Frontier Airlines","AP381"
"United Kingdom Royal VIP Flight","AP371"
"Jim Hankins Air Service","AP338"
"Gendarmerie Belge","AP290"
"Temsco Helicopters","AP878"
"Cairo Air Transport Company","AP847"
"Asia Pacific Airlines","AP531"
"Isles of Scilly Skybus","AP816"
"Zanair","AP365"
"Fumigacion Aerea Andaluza","AP6"
"Inter-Island Air","AP890"
"Danu Oro Transportas","AP330"
"Branson Airlines","AP92"
"Westair Cargo Airlines","AP361"
"Albarka Air","AP833"
"TEA Switzerland","AP832"
"ACEF","AP263"
"Abaet","AP158"
"Air Fiji","AP546"
"Ministic Air","AP737"
"Air France","AP976"
"Air Lituanica","AP734"
"Perm Airlines","AP478"
"Freedom Air","AP727"
"Jett8 Airlines Cargo","AP758"
"Air Dolomiti","AP216"
"Air Monarch Cargo","AP480"
"Superior Aviation","AP437"
"Tempelhof Airways","AP619"
"RAF-Avia","AP288"
"Cougar Helicopters","AP419"
"Taxi de Veracruz","AP717"
"Search and Rescue 22","AP77"
"Tassili Airlines","AP949"
"ACES Colombia","AP599"
"Benin Golf Air","AP232"
"Air North Charter - Canada","AP307"
"KMV","AP915"
"Gol Transportes Aéreos","AP676"
"Servicios Intergrales De Aviacion","AP545"
"V Australia Airlines","AP578"
"Aerolineas Nacionales Del Ecuador","AP41"
"Norsk Luftambulanse","AP767"
"Avies","AP600"
"Great Plains Airlines","AP435"
"ICAO","AP700"
"JetBlue Airways","AP614"
"Slok Air Gambia","AP139"
"Spectrum Air Service","AP958"
"Transportes Aereos Tauro","AP35"
"Lauda Air Italy","AP731"
"Arizona Express Airlines","AP918"
"Civil Aviation Authority","AP38"
"Tarom","AP94"
"Sharp Airlines","AP454"
"Air Affaires Tchad","AP49"
"North Pacific Airlines","AP219"
"Telnic Limited","AP553"
"Skyline","AP119"
"Flight Options","AP507"
"Aerokuzbass","AP419"
"Airvias S/A Linhas Aereas","AP424"
"Morrison Flying Service","AP8"
"Korongo Airlines","AP111"
"Semeyavia","AP664"
"Stapleford Flight Centre","AP764"
"CommutAir","AP161"
"Air Comores International","AP923"
"CM Stair","AP222"
"Pouya Air","AP806"
"Compania Boliviana de Transporte Aereo Privado Aerosur","AP831"
"Vostok Airlines","AP463"
"Air-Spray 1967 Ltd.","AP946"
"Carib Express","AP566"
"Trans Sayegh Airport Services","AP211"
"Cherokee Express","AP429"
"Namibia Commerical Aviation","AP187"
"LAN Express","AP634"
"Sichuan Airlines","AP156"
"Aeronaves Del Centro","AP959"
"Airways International","AP920"
"Atlantic Airfreight Aviation","AP890"
"Bravo Airlines","AP153"
"Gabon-Air-Transport","AP892"
"Atlantic Coast Airlines","AP676"
"Aerolineas Galapagos (Aerogal)","AP338"
"Aerotrebol","AP412"
"S C Ion Tiriac","AP396"
"Air Alps Aviation","AP510"
"Aero Vision","AP933"
"Aero Vilamoura","AP457"
"MNG Airlines","AP179"
"Empire Aviation Services","AP436"
"Travel Service","AP594"
"Chanchangi Airlines","AP129"
"GB Airlink","AP920"
"Global Freightways","AP955"
"Cherline","AP402"
"Air Slovakia","AP251"
"Air Walser","AP656"
"Japan Aircraft Service","AP943"
"Aero Servicio Pity","AP232"
"Aero Empresarial","AP679"
"Dallas Express Airlines","AP325"
"Executive Flight Operations Ontario Government","AP879"
"Jupiter Airlines","AP561"
"Privatair","AP759"
"Ivoire Aero Services","AP822"
"Aero Calafia","AP48"
"World Experience Airline","AP908"
"Midstate Airlines","AP447"
"Special Aviation Systems","AP706"
"Baltic Aviation","AP568"
"Coastal Air","AP646"
"Linhas A","AP652"
"Transairways","AP813"
"Farnair Hungary","AP205"
"Aeronautical Radio of Thailand","AP580"
"ASA Pesada","AP149"
"AlbaStar","AP369"
"Flight Options","AP328"
"Futura Gael","AP801"
"Gain Jet Aviation","AP404"
"MAT Airways","AP875"
"Tyumenspecavia","AP949"
"Aero Link Air Services S.L.","AP57"
"Royal Aviation Express","AP10"
"Island Airlines","AP82"
"Teledyne Continental Motors","AP151"
"Helitafe","AP739"
"Central Air Express","AP86"
"Avilu","AP221"
"National Grid","AP319"
"Royal Air Maroc","AP728"
"LASTP","AP219"
"Royal Air Freight","AP574"
"Saint Barth Commuter","AP310"
"Aeronaves Del Centro","AP747"
"Centrafrican Airlines","AP406"
"Farnas Aviation Services","AP888"
"Aerolineas De Morelia","AP985"
"JS Air","AP204"
"Phoenix Airways","AP983"
"Polar Air Cargo","AP295"
"Ibex Airlines","AP62"
"Formula One Management","AP732"
"Viva Macau","AP587"
"Orel State Air Enterprise","AP535"
"Mountain Valley Air Service","AP162"
"Polo Aviation","AP11"
"Servicios Aereos Copters","AP251"
"Luxflight Executive","AP271"
"Sunshine Air Tours","AP988"
"Felix Airways","AP859"
"East African","AP133"
"Air Astana","AP403"
"Hong Kong Express Airways","AP217"
"Richland Aviation","AP228"
"Armavia","AP425"
"Alliance Air","AP209"
"Carroll Air Service","AP789"
"Transport Aerien de Mauritanie","AP750"
"Vieques Air Link","AP634"
"BRA-Transportes Aereos","AP503"
"Hala Air","AP485"
"Abicar","AP769"
"VG Airlines (IV)","AP816"
"United Aviation","AP127"
"Nova Scotia Department of Lands and Forests","AP962"
"Compania Mexicargo","AP430"
"Carib Aviation","AP994"
"Millennium Air","AP530"
"Hawk De Mexico","AP740"
"Fischer Air","AP638"
"Golden Eagle Air Services (FAA)","AP675"
"SAS Braathens","AP186"
"Time Air","AP613"
"South West Air","AP21"
"Aero Charter and Transport","AP330"
"Zenith International Airline","AP155"
"Systec 2000","AP818"
"Aerobanana","AP950"
"Aero Services","AP232"
"Active Aero Charter","AP933"
"Luhansk","AP495"
"Flybe Finland Oy","AP834"
"Interflight","AP603"
"Aeromas","AP574"
"Servicios Aereos Elite","AP821"
"Kanaf-Arkia Airlines","AP456"
"Speedwings","AP453"
"EVA Air","AP618"
"Philips Aviation Services","AP575"
"Aviateca","AP825"
"Hamburg Airways","AP339"
"Air Austral","AP882"
"Touraine Helicoptere","AP889"
"Faroejet","AP586"
"Zambia Skyways","AP147"
"Kata Transportation","AP172"
"Pan-Air","AP442"
"Fairlines","AP615"
"LTU International","AP299"
"Helicopteros Aero Personal","AP720"
"Island Aviation Services","AP282"
"Nik Airways","AP246"
"Central Flying Service","AP189"
"Trans Air","AP787"
"Air Consul","AP148"
"Zambezi Airlines","AP119"
"ABC Air Hungary","AP936"
"Aeronaves Del Noreste","AP216"
"Bonyad Airlines","AP425"
"Powell Air","AP255"
"Aero Banobras","AP826"
"Lockheed DUATS","AP37"
"Eurojet Italia","AP592"
"New World Jet Corporation","AP160"
"North Vancouver Airlines","AP682"
"The Lancair Company","AP163"
"Flightpass Limited","AP630"
"Xtra Airways","AP905"
"Air Falcon","AP827"
"Metropix UK","AP336"
"JS Aviation","AP562"
"Wiking Helikopter Service","AP952"
"Aws express","AP603"
"Izhavia","AP948"
"Heliservicio Campeche","AP507"
"Briggs Marine Environmental Services","AP947"
"Afit","AP29"
"Falcon Air","AP158"
"Express One International","AP248"
"Metroplis","AP735"
"Freedom Air","AP181"
"Rusair JSAC","AP457"
"Trans Atlantic Airlines","AP594"
"Victor Tagle Larrain","AP308"
"Aviair Aviation Ltd.","AP664"
"Tennessee Airways","AP845"
"Airwaves Airlink","AP258"
"Royal Netherland Navy","AP329"
"Z-Avia","AP184"
"Arkia Israel Airlines","AP126"
"Steinman Aviation","AP894"
"Juba Cargo Services & Aviation Company","AP175"
"Sunstate Airlines","AP353"
"Helitt Líneas Aéreas","AP582"
"Westgates Airlines","AP114"
"British Gulf International-Fez","AP906"
"Flightpass Limited","AP142"
"FLowair Aviation","AP913"
"Centre-Avia","AP583"
"Bhoja Airlines","AP869"
"Papillon Grand Canyon Helicopters","AP647"
"Alba Servizi Aerotrasporti","AP941"
"Aeroxtra","AP409"
"U.S. Department of the Interior","AP126"
"Indicator Company","AP239"
"Ucoaviacion","AP360"
"Hoteles Dinamicos","AP580"
"IJM International Jet Management","AP349"
"K S Avia","AP407"
"Global Georgian Airways","AP528"
"Odyssey International","AP227"
"Second Sverdlovsk Air Enterprise","AP54"
"Condor","AP214"
"Compuserve Incorporated","AP817"
"VH-Air Industrie","AP261"
"Aero Biniza","AP751"
"Ukraine International Airlines","AP862"
"Jetstream Executive Travel","AP810"
"Safari Express Cargo","AP294"
"Exin","AP318"
"STA-MALI","AP906"
"Northstar Aviation","AP356"
"Air Caledonie International","AP446"
"Fujian Airlines","AP205"
"West Coast Airlines","AP767"
"Uni Air","AP665"
"Luzair","AP196"
"Almiron Aviation","AP497"
"Wisman Aviation","AP658"
"Bingo Airways","AP821"
"Skyjet Airlines","AP532"
"LAN Dominica","AP794"
"Luftfahrtgesellschaft Walter","AP64"
"World Airways","AP477"
"Aerodyne Charter Company","AP986"
"Astravia-Bissau Air Transports Ltd.","AP276"
"Aeroservicios de La Costa","AP101"
"Norse Air Charter","AP745"
"TAN","AP624"
"All America US","AP398"
"Imaer","AP217"
"Flightlink Tanzania","AP78"
"Aero Taxi","AP179"
"Arrow Panama","AP109"
"Rwanda Airlines","AP172"
"Advance Air Charters","AP545"
"Yak-Service","AP104"
"Bonus Aviation","AP957"
"Aws express","AP734"
"Lockeed Aircraft Corporation","AP845"
"Bird Leasing","AP169"
"Meridian Air Cargo","AP524"
"Portuguese Army","AP424"
"Dreamcatcher Airways","AP375"
"Qatar Amiri Flight","AP753"
"Sahara Airlines","AP570"
"Trans-Colorado Airlines","AP644"
"European Business Jets","AP111"
"Czech Air Handling","AP331"
"Heli-Iberica","AP135"
"Aer Turas","AP45"
"Chicago Express","AP105"
"Aero Servicios","AP454"
"Sheremetyevo-Cargo","AP383"
"Nurman Avia Indopura","AP660"
"Presidential Aviation","AP673"
"South Airlines","AP643"
"Taxis Aereos del Pacifico","AP766"
"Empresa Aerocaribbean","AP237"
"Air Tungaru","AP527"
"Regio Air","AP804"
"Hankook Airline","AP103"
"Sobel Airlines of Ghana","AP586"
"Airmax","AP389"
"Aerocuahonte","AP731"
"Araiavia","AP169"
"Aero-Rey","AP426"
"Southern Air Charter","AP76"
"Aero Brazil","AP94"
"Hankook Airline","AP496"
"VG Airlines (IV)","AP760"
"Cowi","AP155"
"JetAfrica Swaziland","AP851"
"Air Caraibes Atlantique","AP916"
"VIA Rail Canada","AP610"
"May Air Xpress","AP895"
"Indonesian Airlines","AP408"
"Air Roberval","AP88"
"Jett8 Airlines Cargo","AP822"
"Belair Airlines","AP966"
"Air Alpha","AP643"
"Suburban Air Freight","AP256"
"RAF Scampton","AP637"
"Caribbean Airlines","AP613"
"Air Minas Linhas A","AP713"
"Timberline Air","AP818"
"Euro Continental AIE","AP853"
"Shura Air Transport Services","AP74"
"Tradewinds Airlines","AP307"
"Calima Aviacion","AP688"
"Airlines 400","AP793"
"ARP 410 Airlines","AP357"
"Decatur Aviation","AP140"
"Air Yugoslavia","AP728"
"Shawbury Flying Training Unit","AP317"
"Operation Enduring Freedom","AP175"
"Murmansk Aircompany","AP170"
"Air Guam","AP349"
"Atlas Air","AP854"
"Tranporte Amazonair","AP26"
"Zimbabwean Airlines","AP993"
"Dos Mundos","AP405"
"Salzburg arrows","AP906"
"Air Almaty","AP285"
"Air Alfa","AP306"
"Sudan Airways","AP380"
"Fayetteville Flying Service and Scheduled Skyways System","AP680"
"Fly 6ix","AP410"
"Puntavia Air Services","AP627"
"STA-MALI","AP798"
"Aero Taxis Y Servicios Alfe","AP715"
"Lotus Air","AP993"
"Planemaster Services","AP572"
"Union Africaine des Transports","AP441"
"LASTP","AP803"
"Johnson Air","AP412"
"Manx Airlines","AP602"
"Inter-State Aviation","AP94"
"Copenhagen Express","AP744"
"PTL Luftfahrtunternehemen","AP867"
"Tropican Air Services","AP684"
"Jet Norte","AP505"
"Four Island Air","AP626"
"Southjet","AP217"
"Telnic Limited","AP997"
"Viscount Air Service","AP269"
"Westland Helicopters","AP41"
"Dassault Falcon Service","AP861"
"Dawn Air","AP455"
"Northern Dene Airways","AP130"
"Swedeways","AP954"
"Aerolineas Africanas","AP630"
"South West Air Corporation","AP994"
"Merchant Express Aviation","AP644"
"Wings of England","AP833"
"Briansk State Air Enterprise","AP116"
"Royal Tongan Airlines","AP958"
"Jetstream Air","AP536"
"Focus Air","AP55"
"EPAG Groupe Air France","AP643"
"Agrolet-Mci","AP528"
"Crystal Shamrock","AP139"
"Northern Air Cargo","AP423"
"Jet Courier Service","AP942"
"Air Italy","AP112"
"Transportacion Aerea Del Mar De Cortes","AP379"
"Jatayu Airlines","AP608"
"Ucoaviacion","AP705"
"Aero Club De Portugal","AP465"
"Advanced Air Co.","AP707"
"Anoka Air Charter","AP981"
"Jamahiriya Airways","AP310"
"Regio Air","AP141"
"Aeromist-Kharkiv","AP727"
"Mandarin Airlines","AP869"
"Blue Nile Ethiopia Trading","AP111"
"Luchtvaartmaatschappij Twente","AP307"
"Air Fecteau","AP163"
"Aviodetachment-28","AP150"
"Aero Taxi de Los Cabos","AP504"
"Commercial Aviation","AP302"
"ATMA","AP268"
"Hebei Airlines","AP426"
"Tradewind Aviation","AP334"
"Saga Airlines","AP547"
"Meta Linhas A","AP763"
"V-avia Airline","AP746"
"Heli Medwest De Mexico","AP194"
"Aeromagar","AP719"
"Aero Entreprise","AP864"
"Sky Harbor Air Service","AP895"
"Electronic Data Systems","AP313"
"Air Anatolia","AP52"
"Sincom-Avia","AP803"
"Flight Dispatch Services","AP126"
"Air Toronto","AP333"
"Air Queensland","AP812"
"Irbis Air","AP733"
"Air Sultan","AP359"
"Aerotransportes Privados","AP788"
"Sunrise Airlines","AP147"
"Haiti National Airlines (HANA)","AP648"
"SOS Flygambulans","AP416"
"Master Planner","AP636"
"Salsa d\\'Haiti","AP677"
"Anglo Cargo","AP250"
"Ozark Air Lines","AP348"
"Air and Sea Transport","AP234"
"ICC Canada","AP947"
"Suburban Air Freight","AP11"
"Aerotaxis de Aguascalientes","AP944"
"Excellent Air","AP182"
"Vostok Airlines","AP202"
"Copa Airlines","AP111"
"TDA Toa Domestic Airlines","AP506"
"Jetstream Air","AP813"
"Indonesia Air Transport","AP194"
"Cubana de Aviación","AP507"
"Air Zambezi","AP525"
"Air Georgia","AP515"
"V Air","AP988"
"Corporate Flight Management","AP480"
"National Overseas Airlines Company","AP998"
"Boscombe Down DERA (Formation)","AP118"
"Twin Jet","AP181"
"Swiftair","AP676"
"EasyFly","AP817"
"Alpha Aviation","AP751"
"Easy Link Aviation Services","AP312"
"Air Seychelles","AP791"
"Aerolineas Dominicanas","AP991"
"European 2000 Airlines","AP39"
"Aviation Legere De L'Armee De Terre","AP287"
"Aboitiz Air","AP416"
"Haiti National Airlines (HANA)","AP321"
"Airshare Holdings","AP419"
"Pelican Express","AP777"
"Far Eastern Air Transport","AP504"
"Air Concorde","AP187"
"Swiss Air-Ambulance","AP806"
"Vega","AP527"
"Spirit of Manila Airlines","AP877"
"Natioanl Air Traffic Controllers Association","AP199"
"Heli Ambulance Team","AP274"
